l1,l2,linf,times,prob_org,prob_adv,success,global_index
711.6094360351562,16.873682022094727,1.0,0.0237107016146183,0.5673462152481079,2.8378842145117206e-18,True,0
743.8109741210938,17.53970718383789,1.0,0.0237107016146183,0.9999876022338867,2.9397413160054234e-26,True,1
764.2103271484375,17.833715438842773,1.0,0.0237107016146183,0.9998373985290527,2.656521879604446e-20,True,2
774.409912109375,17.995594024658203,1.0,0.0237107016146183,0.9999994039535522,3.04724523406097e-24,True,3
831.0106201171875,19.042104721069336,1.0,0.0237107016146183,1.0,2.551384832679998e-18,True,4
729.2107543945312,16.961166381835938,1.0,0.0237107016146183,0.9607630968093872,8.90258924524484e-19,True,5
695.4091796875,16.520320892333984,1.0,0.0237107016146183,0.999984622001648,1.7323319313897938e-16,True,6
716.6102294921875,16.72247314453125,1.0,0.0237107016146183,0.9303016066551208,2.8415644444545456e-20,True,7
818.411376953125,18.78940200805664,1.0,0.0237107016146183,0.9999282360076904,1.5860174224175212e-25,True,8
742.8103637695312,17.327470779418945,1.0,0.0237107016146183,0.9976698756217957,2.438727566920578e-21,True,9
746.8109130859375,17.613670349121094,1.0,0.0237107016146183,0.9999943971633911,1.6037582878783595e-25,True,10
745.0111083984375,17.521453857421875,1.0,0.0237107016146183,0.9999901056289673,3.12045202304785e-22,True,11
688.0105590820312,16.360960006713867,1.0,0.0237107016146183,0.9999948740005493,4.865156409575973e-17,True,12
723.210205078125,17.144128799438477,1.0,0.0237107016146183,0.9999972581863403,8.246930930429732e-21,True,13
735.8104248046875,17.25691795349121,1.0,0.0237107016146183,0.990789532661438,1.5841522511316998e-21,True,14
670.6087036132812,16.083559036254883,1.0,0.0237107016146183,0.9933415055274963,2.588408545660392e-13,True,15
743.0101318359375,17.393138885498047,1.0,0.0237107016146183,0.5853185653686523,3.2669436254235887e-19,True,16
760.4103393554688,17.78317642211914,1.0,0.0237107016146183,0.9970486760139465,2.5970296542338098e-23,True,17
734.6102905273438,17.19654655456543,1.0,0.0237107016146183,0.9992824196815491,4.312176802263837e-19,True,18
799.4107666015625,18.57421875,1.0,0.0237107016146183,0.9999285936355591,3.49674069432219e-22,True,19
739.0105590820312,17.360912322998047,1.0,0.0237107016146183,0.9996134638786316,2.7577840134896734e-22,True,20
738.2102661132812,17.450538635253906,1.0,0.0237107016146183,1.0,3.404527171148727e-21,True,21
729.0098876953125,17.152294158935547,1.0,0.0237107016146183,0.9995976090431213,7.345180918404183e-24,True,22
686.0095825195312,16.282535552978516,1.0,0.0237107016146183,0.9999996423721313,2.24524378581413e-13,True,23
692.8098754882812,16.248106002807617,1.0,0.0237107016146183,0.9177066683769226,2.7453351573165617e-22,True,24
682.0087890625,16.211135864257812,1.0,0.0237107016146183,0.9088791012763977,2.8204680425197024e-16,True,25
714.8093872070312,16.871309280395508,1.0,0.0237107016146183,0.999991774559021,5.25673525975795e-14,True,26
764.2109985351562,18.217615127563477,1.0,0.0237107016146183,0.9038512110710144,3.6459054215626113e-17,True,27
699.81005859375,16.442659378051758,1.0,0.0237107016146183,0.9421849250793457,1.7991348722234538e-17,True,28
771.2109375,18.05107879638672,1.0,0.0237107016146183,0.9999722242355347,7.065494836335645e-15,True,29
817.6103515625,18.91670036315918,1.0,0.0237107016146183,0.9999415874481201,2.070626164281721e-24,True,30
705.41015625,16.655364990234375,1.0,0.0237107016146183,0.9997637867927551,2.4157096911788343e-21,True,31
798.8107299804688,18.44346809387207,1.0,0.0237107016146183,0.9996153116226196,9.742414508995219e-23,True,32
746.8101806640625,17.4631404876709,1.0,0.0237107016146183,0.5816234350204468,1.6438659574939825e-16,True,33
732.0104370117188,17.200035095214844,1.0,0.0237107016146183,0.9999953508377075,1.7760005474652593e-22,True,34
761.4118041992188,17.698625564575195,1.0,0.0237107016146183,0.9863479137420654,2.81227708089134e-19,True,35
706.0109252929688,16.811933517456055,1.0,0.0237107016146183,0.9999641180038452,1.0865558567573873e-20,True,36
739.8114013671875,17.280086517333984,1.0,0.0237107016146183,0.9861260056495667,4.452652551881231e-22,True,37
712.6100463867188,16.88908576965332,1.0,0.0237107016146183,0.9999926090240479,1.824206916436772e-14,True,38
697.0101318359375,16.364625930786133,1.0,0.0237107016146183,0.9997970461845398,9.292275582782219e-22,True,39
683.6093139648438,16.203733444213867,1.0,0.0237107016146183,0.9355423450469971,1.4706030520274003e-17,True,40
710.4105834960938,16.74040412902832,1.0,0.0237107016146183,0.9999910593032837,9.724671323297243e-22,True,41
733.0098266601562,17.180255889892578,1.0,0.0237107016146183,0.9974772334098816,4.41636037090351e-25,True,42
795.6099853515625,18.695493698120117,1.0,0.0237107016146183,0.6199907064437866,6.998205442164271e-19,True,43
756.0106201171875,17.579572677612305,1.0,0.0237107016146183,0.999840497970581,8.125758310803831e-23,True,44
748.6098022460938,17.694107055664062,1.0,0.0237107016146183,0.9999872446060181,5.930204718669445e-17,True,45
747.4098510742188,17.46886444091797,1.0,0.0237107016146183,0.9775308966636658,4.06892082019395e-22,True,46
749.2113647460938,17.306686401367188,1.0,0.0237107016146183,0.4593661427497864,3.69638106837671e-22,True,47
751.4102783203125,17.580707550048828,1.0,0.0237107016146183,0.9967108964920044,1.0927973731433184e-16,True,48
753.010498046875,17.6284236907959,1.0,0.0237107016146183,0.9987986087799072,5.841417007704502e-21,True,49
706.8109130859375,16.482749938964844,1.0,0.0237107016146183,0.9999995231628418,3.177208002958282e-21,True,50
721.4109497070312,16.93638801574707,1.0,0.0237107016146183,0.9999868869781494,4.561722195459399e-15,True,51
722.81005859375,16.93756675720215,1.0,0.0237107016146183,0.9998947381973267,1.658940365445637e-24,True,52
